constructorResultsId,raceId,constructorId,points,status,fileName
1,18,1,14.0,\N,constructor_results.csv
2,18,2,8.0,\N,constructor_results.csv
3,18,3,9.0,\N,constructor_results.csv
4,18,4,5.0,\N,constructor_results.csv
5,18,5,2.0,\N,constructor_results.csv
6,18,6,1.0,\N,constructor_results.csv
7,18,7,0.0,\N,constructor_results.csv
8,18,8,0.0,\N,constructor_results.csv
9,18,9,0.0,\N,constructor_results.csv
10,18,10,0.0,\N,constructor_results.csv
11,18,11,0.0,\N,constructor_results.csv
12,19,6,10.0,\N,constructor_results.csv
13,19,2,11.0,\N,constructor_results.csv
14,19,1,10.0,\N,constructor_results.csv
15,19,7,5.0,\N,constructor_results.csv
16,19,9,2.0,\N,constructor_results.csv
17,19,4,1.0,\N,constructor_results.csv
18,19,11,0.0,\N,constructor_results.csv
19,19,10,0.0,\N,constructor_results.csv
20,19,3,0.0,\N,constructor_results.csv
21,19,8,0.0,\N,constructor_results.csv
22,19,5,0.0,\N,constructor_results.csv
23,20,6,18.0,\N,constructor_results.csv
24,20,2,11.0,\N,constructor_results.csv
25,20,1,4.0,\N,constructor_results.csv
26,20,7,3.0,\N,constructor_results.csv
27,20,9,2.0,\N,constructor_results.csv
28,20,3,1.0,\N,constructor_results.csv
29,20,4,0.0,\N,constructor_results.csv
30,20,11,0.0,\N,constructor_results.csv
31,20,10,0.0,\N,constructor_results.csv
32,20,5,0.0,\N,constructor_results.csv
33,20,8,0.0,\N,constructor_results.csv
34,21,6,18.0,\N,constructor_results.csv
35,21,1,6.0,\N,constructor_results.csv
36,21,2,5.0,\N,constructor_results.csv
37,21,9,4.0,\N,constructor_results.csv
38,21,11,3.0,\N,constructor_results.csv
39,21,3,2.0,\N,constructor_results.csv
40,21,7,1.0,\N,constructor_results.csv
41,21,10,0.0,\N,constructor_results.csv
42,21,8,0.0,\N,constructor_results.csv
43,21,4,0.0,\N,constructor_results.csv
44,21,5,0.0,\N,constructor_results.csv
45,22,6,16.0,\N,constructor_results.csv
46,22,1,8.0,\N,constructor_results.csv
47,22,2,9.0,\N,constructor_results.csv
48,22,4,3.0,\N,constructor_results.csv
49,22,9,2.0,\N,constructor_results.csv
