constructorId,constructorRef,name,nationality,url,fileName
1,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,constructors.csv
2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,constructors.csv
3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,constructors.csv
4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,constructors.csv
5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,constructors.csv
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,constructors.csv
7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,constructors.csv
8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,constructors.csv
9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,constructors.csv
10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,constructors.csv
11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,constructors.csv
12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,constructors.csv
13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,constructors.csv
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,constructors.csv
15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,constructors.csv
16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,constructors.csv
17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,constructors.csv
18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,constructors.csv
19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,constructors.csv
20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,constructors.csv
