driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
1,18,1,10.0,1,1,1,driver_standings.csv
2,18,2,8.0,2,2,0,driver_standings.csv
3,18,3,6.0,3,3,0,driver_standings.csv
4,18,4,5.0,4,4,0,driver_standings.csv
5,18,5,4.0,5,5,0,driver_standings.csv
6,18,6,3.0,6,6,0,driver_standings.csv
7,18,7,2.0,7,7,0,driver_standings.csv
8,18,8,1.0,8,8,0,driver_standings.csv
9,19,1,14.0,1,1,1,driver_standings.csv
10,19,2,11.0,3,3,0,driver_standings.csv
11,19,3,6.0,6,6,0,driver_standings.csv
12,19,4,6.0,7,7,0,driver_standings.csv
13,19,5,10.0,4,4,0,driver_standings.csv
14,19,6,3.0,9,9,0,driver_standings.csv
15,19,7,2.0,10,10,0,driver_standings.csv
16,19,8,11.0,2,2,1,driver_standings.csv
17,19,9,8.0,5,5,0,driver_standings.csv
18,19,15,5.0,8,8,0,driver_standings.csv
19,19,17,2.0,11,11,0,driver_standings.csv
20,19,14,0.0,12,12,0,driver_standings.csv
21,19,18,0.0,13,13,0,driver_standings.csv
22,19,12,0.0,14,14,0,driver_standings.csv
23,19,21,0.0,15,15,0,driver_standings.csv
24,19,22,0.0,16,16,0,driver_standings.csv
25,19,19,0.0,17,17,0,driver_standings.csv
26,19,11,0.0,18,18,0,driver_standings.csv
27,20,1,14.0,3,3,1,driver_standings.csv
28,20,2,16.0,2,2,0,driver_standings.csv
29,20,3,7.0,8,8,0,driver_standings.csv
30,20,4,6.0,9,9,0,driver_standings.csv
31,20,5,14.0,5,5,0,driver_standings.csv
32,20,6,3.0,11,11,0,driver_standings.csv
33,20,7,2.0,12,12,0,driver_standings.csv
34,20,8,19.0,1,1,1,driver_standings.csv
35,20,9,14.0,4,4,0,driver_standings.csv
36,20,15,8.0,7,7,0,driver_standings.csv
37,20,17,4.0,10,10,0,driver_standings.csv
38,20,14,0.0,13,13,0,driver_standings.csv
39,20,18,0.0,15,15,0,driver_standings.csv
40,20,12,0.0,17,17,0,driver_standings.csv
41,20,21,0.0,18,18,0,driver_standings.csv
42,20,22,0.0,16,16,0,driver_standings.csv
43,20,19,0.0,19,19,0,driver_standings.csv
44,20,11,0.0,20,20,0,driver_standings.csv
45,20,13,10.0,6,6,1,driver_standings.csv
46,20,10,0.0,14,14,0,driver_standings.csv
47,20,16,0.0,21,21,0,driver_standings.csv
48,21,1,20.0,2,2,1,driver_standings.csv
49,21,2,16.0,5,5,0,driver_standings.csv
50,21,3,7.0,9,9,0,driver_standings.csv
51,21,4,6.0,10,10,0,driver_standings.csv
52,21,5,14.0,6,6,0,driver_standings.csv
53,21,6,5.0,11,11,0,driver_standings.csv
54,21,7,2.0,13,13,0,driver_standings.csv
55,21,8,29.0,1,1,2,driver_standings.csv
56,21,9,19.0,3,3,0,driver_standings.csv
57,21,15,9.0,7,7,0,driver_standings.csv
58,21,17,8.0,8,8,0,driver_standings.csv
59,21,14,0.0,15,15,0,driver_standings.csv
60,21,18,3.0,12,12,0,driver_standings.csv
61,21,12,0.0,18,18,0,driver_standings.csv
62,21,21,0.0,16,16,0,driver_standings.csv
63,21,22,0.0,17,17,0,driver_standings.csv
64,21,19,0.0,20,20,0,driver_standings.csv
65,21,11,0.0,19,19,0,driver_standings.csv
