,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Winner,Result,Year
0,I1,29/08/93,Atalanta,Cagliari,5,2,H,Atalanta,HomeTeamWin,1993
1,I1,29/08/93,Genoa,Roma,2,0,H,Genoa,HomeTeamWin,1993
2,I1,29/08/93,Inter,Reggiana,2,1,H,Inter,HomeTeamWin,1993
3,I1,29/08/93,Juventus,Cremonese,1,0,H,Juventus,HomeTeamWin,1993
4,I1,29/08/93,Lazio,Foggia,0,0,D,Draw,Draw,1993
5,I1,29/08/93,Lecce,Milan,0,1,A,Milan,AwayTeamWin,1993
6,I1,29/08/93,Napoli,Sampdoria,1,2,A,Sampdoria,AwayTeamWin,1993
7,I1,29/08/93,Piacenza,Torino,0,3,A,Torino,AwayTeamWin,1993
8,I1,29/08/93,Udinese,Parma,0,1,A,Parma,AwayTeamWin,1993
9,I1,05/09/93,Cagliari,Udinese,1,2,A,Udinese,AwayTeamWin,1993
10,I1,05/09/93,Cremonese,Napoli,2,0,H,Cremonese,HomeTeamWin,1993
11,I1,05/09/93,Foggia,Inter,1,1,D,Draw,Draw,1993
12,I1,05/09/93,Milan,Genoa,1,0,H,Milan,HomeTeamWin,1993
13,I1,05/09/93,Parma,Lecce,1,0,H,Parma,HomeTeamWin,1993
14,I1,05/09/93,Reggiana,Lazio,0,0,D,Draw,Draw,1993
15,I1,05/09/93,Roma,Juventus,2,1,H,Roma,HomeTeamWin,1993
16,I1,05/09/93,Sampdoria,Piacenza,2,1,H,Sampdoria,HomeTeamWin,1993
17,I1,05/09/93,Torino,Atalanta,2,1,H,Torino,HomeTeamWin,1993
18,I1,08/09/93,Atalanta,Reggiana,2,1,H,Atalanta,HomeTeamWin,1993
19,I1,08/09/93,Genoa,Cagliari,1,1,D,Draw,Draw,1993
20,I1,08/09/93,Inter,Cremonese,2,1,H,Inter,HomeTeamWin,1993
21,I1,08/09/93,Juventus,Sampdoria,3,1,H,Juventus,HomeTeamWin,1993
